87;5023;La date d'enlèvement est passée.
88;5024;L'unité de poids est manquante
89;5025;Le poids maximum autorisé est de 50kg ou 110lbs.
90;5026;Les dimensions maximum autorisées sont 118x88x120cm ou 46x35x47ins (LxlxH)
91;5027;La valeur déclarée ne peux pas dépasser la limite pour ce pays.
92;5028;Unité de poids inconnue
93;5029;Unité de mesure des dimensions inconnue
94;5031;Le poids maximal du colis est supérieur au poids total de l'expédition.
95;5032;Symbole de devise inconnu
96;5033;Les informations de localisation sont manquantes !
97;5034;L'information de localisation est incorrecte. Pour les pays ayant des codes postaux, toutes les localisations doivent avoir un code postal.
98;5035;L'information de localisation est incorrecte. Pour les pays n'ayant pas de codes postaux, toutes les localisations doivent avoir le nom d'une ville.
99;5036;Les informations concernant le code produit local / global sont manquantes.
100;5037;Les informations concernant le code du service en option local / global sont manquantes.
101;5038;Le poids et/ou les dimensions ne sont pas corrects
102;5100;Le service choisi n'est pas compatible avec ce produit
103;5110;Service en option non applicable
104;6000;Erreur inattendue de l'application
105;6100;Schéma général violation de contrainte
106;PL002;Le système de réservation est momentanément indisponible, veuillez contacter notre Service Clients pour votre demande.
107;PL003;Le système de réservation est momentanément indisponible, veuillez contacter notre Service Clients pour votre demande.
108;PL004;Le système de réservation est momentanément indisponible, veuillez contacter notre Service Clients pour votre demande.
109;PL005;Le système de réservation est momentanément indisponible, veuillez contacter notre Service Clients pour votre demande.
110;PL006;Le système de réservation est momentanément indisponible, veuillez contacter notre Service Clients pour votre demande.
111;PL007;Le système de réservation est momentanément indisponible, veuillez contacter notre Service Clients pour votre demande.
112;PL008;Le système de réservation est momentanément indisponible, veuillez contacter notre Service Clients pour votre demande.
113;PLT002;Le service PLT est disponible uniquement pour les expéditions avec droits de douane. Veuillez vérifier que les champs concernant le service PLT sont corrects ou choisissez l'expédition standard. En cas de besoin, n'hésitez pas à contacter votre Service Clients DHL
114;PLT003;Le service PLT n'est pas disponible au pays d'expédition. Veuillez contacter votre Service Clients DHL pour de plus amples renseignements ou soumettre votre demande comme expédition classique.
115;PLT004;Vous n'êtes pas abonné au service PLT. Pour souscrire au service PLT, veuillez contacter votre support technique DHL
116;PLT005;Le service PLT est suspendu. Veuillez contacter votre support technique DHL pour le réactiver
